_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-216.0645215190143,6655,0.007568964876902065,-2.118584179300926,2.850498749502002,0.04189051142977318,-0.0013295908,-2.9229388,2.4493167,0.39775032,-1.7082920769589186e-16,-5.3259144712887405,5.313826172694312,0.9999815138347419,-0.4371293882991197,-0.9582283191238308,0.0695600099528671,0.03965921803553776,20,-0.051865216,7.34305,0.013335626,1.5,1.0,0.01613796866769622,0.5934550112893691,-0.24444619325458383
-120.18763016309784,4081,0.007151507252279181,-2.0043366709850514,2.0266190282787595,0.04341737765536302,0.0108194,-3.0852728,2.5390148,0.40075323,0.0,-4.095270246865664,4.07983948346664,0.9999854087280301,-0.36989864267375877,-0.6884216779258863,0.05204297265247922,0.04577443264200757,40,-0.03874765,7.327932,0.0144509915,2.25,1.0,0.01926456831694907,0.5841151787396321,0.03616917822514365
-198.3777364082782,6120,0.004030845492108723,-1.927360999500045,2.1496483889512663,0.042513549769557686,0.01112245,-2.6272712,2.6085956,0.40218732,4.6440701683666676e-18,-5.229582521110531,4.650591577392284,0.999980674664559,-0.4485368779949872,-1.043754403337676,0.07306938359427485,0.0432467101013506,60,-0.022138614,7.3138323,0.012256582,3.375,1.0,0.01621601451608554,0.6273859011644249,0.3554377443566481
-81.73082226034752,2368,0.0043565718054989514,-1.699294833366321,1.8280775674916196,0.043797755047732735,-0.005786534,-2.6496618,2.5690246,0.4092564,3.00060276925718e-17,-3.4454185289091663,4.62831266266877,0.9999861743559354,-0.3105723145842477,-0.8654807082999953,0.044051264511470775,0.0452548068913856,80,-0.04198965,7.3081985,0.012814844,5.0625,1.0,0.020056709217393595,0.5706060381566739,0.2429776541994233
