_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-295.31672935465537,1285,-0.013546802399107471,-1.4832833815611919,1.8741045281790911,0.08222436823869761,-0.0024000125,-2.8364768,2.8105354,0.42546466,3.538889890167036e-16,-2.7841002320859407,2.6865080520843914,0.9999936490880615,-0.8763574605857077,-2.782858289274903,-0.006670390178954625,0.474956287241394,20,-0.09627329,16.53696,0.0122738695,1.5,1.0,0.3240769933854384,0.31995678469247,-0.08593030898401133
-258.11062536381075,1045,0.001050012527294239,-1.2685218266339833,1.578689404926642,0.08559287456911335,-0.0036826865,-2.9072073,2.5095663,0.42895904,4.0796712101058384e-17,-3.134481602747756,2.5995203859142677,0.9999966033230869,-0.9104090928551627,-2.749433113489566,-0.011849983705141934,0.4258166108674362,40,-0.08624325,16.529266,0.015279936,2.25,1.0,0.3101609376858528,0.27161174207580097,-0.32760855125714783
-283.6550018267601,1224,0.004527787784834368,-1.3250720602168964,1.2839183778506635,0.08280755511682254,-0.00064627157,-2.5411227,2.5860589,0.42113745,2.322035084183334e-17,-2.6439189000893695,2.5620131922385125,0.9999963177801874,-1.104763467365578,-3.867532850345181,-0.0014138963333542932,1.0547270984914972,60,-0.07191982,16.51801,0.014378999,3.375,1.0,0.7215030070635415,0.3249311092639203,0.07350416616188804
-264.75578168425494,1077,0.001064745376926713,-1.2601479083205072,1.2194940405158958,0.0858291665763616,-0.0020214263,-2.639161,2.5898356,0.4253875,-1.9792276762119782e-17,-2.9223081440020486,2.5444834075247145,0.999996251371317,-0.9118848617804445,-2.9640930187173953,-0.0019611756006182495,0.521160200234892,80,-0.06150092,16.523067,0.013653917,5.0625,1.0,0.33966155680534676,0.3492743562606183,-0.03603440017400872
-364.85142481166724,1553,0.0006510837123371334,-1.19741832791131,1.2470591309086627,0.08763703625490275,0.0010533966,-2.4148817,2.6013386,0.42349216,-9.150582559692211e-18,-2.7920260690487493,3.0796895017622288,0.9999964068850632,-0.9834919616426411,-2.8114586718400507,-0.003989637120653116,0.42873563395634384,100,-0.04350676,16.526865,0.0121725295,7.59375,1.0,0.2642705338746797,0.3842800375009219,-0.07198331960995197
-225.06695244087587,960,0.006145499295423137,-1.3183688598312728,1.2860773758814905,0.08511983949855557,-0.0003662556,-2.496292,2.6967685,0.42214584,2.960594732333751e-17,-3.121912798999658,2.5226993399801656,0.9999968147144576,-1.0026917148772057,-3.4211345971578218,-0.008240172058548486,0.8890474180702922,120,-0.066698715,16.520355,0.010093083,11.390625,1.0,0.6375043757878704,0.28474037393499574,-0.17089514005719209
-346.7066619781199,1434,-0.004335903380236616,-1.2979425320851516,1.3116507356373224,0.08696507494721735,-0.0096577285,-2.607558,2.7944806,0.43052334,0.0,-2.7729481135152114,2.7098158490432116,0.9999963640428596,-1.104578999903162,-2.9172468753894636,-0.006848830205527469,0.5861360218854774,140,-0.0339059,16.51498,0.0029721751,11.390625,1.0,0.3186148618502114,0.4564172186499138,0.09029153962249648
-311.0205172228671,1351,0.00553949073663002,-1.2490126008942186,1.53754987442452,0.08630770053773122,-0.0033130585,-2.9929934,2.6152449,0.4301729,1.3148459210956702e-17,-3.097730561784979,2.517582953912156,0.9999964173211799,-0.8215595724524946,-2.5215554828043603,-0.01428442890166437,0.3004625052088202,160,-0.034520555,16.524826,0.003135749,11.390625,1.0,0.2322528700415913,0.2527431955202044,-0.3146937621253887
-390.69324457029956,1580,-0.0012882720055082824,-1.3055161257996712,1.4094300349622269,0.08694873104092454,-0.012322094,-2.6112726,2.59127,0.42826355,3.597684738025824e-17,-2.899725400098961,3.013882399380798,0.9999965093725208,-1.3370518759662204,-3.1683234074142623,-0.00889093681859421,0.7257420091801512,180,-0.031074604,16.533766,0.0025918044,11.390625,1.0,0.46146225979838995,0.3974548059524692,0.039578245068554896
-315.3840693229825,1379,6.992407236765609e-05,-1.7386382932996618,1.3194722603003841,0.08834246006849278,-0.010865249,-2.7050714,2.7108493,0.4220819,0.0,-3.003957757585025,2.7183268265593012,0.9999966032456907,-1.1403585954173863,-3.846968402655256,-0.0027664646016447936,0.9493142965936232,200,-0.034617737,16.527523,0.0027672227,11.390625,1.0,0.5768307090491328,0.3992886228551502,-0.0006703754946513207
